Wave	Int
300.1541	19.75
301.32	27.5
302.4857	23
303.6512	19.75
304.8164	28
305.9814	32.75
307.1461	24.5
308.3106	21.25
309.4748	22.75
310.6388	23.5
311.8025	19.25
312.9659	21
314.1292	17.75
315.2921	22.75
316.4549	28.75
317.6173	20
318.7796	23
319.9416	21.5
321.1033	15.25
322.2648	20.5
323.426	32.75
324.587	19
325.7477	25
326.9082	21.5
328.0685	20.5
329.2285	16.5
330.3882	22.25
331.5477	21
332.707	21.75
333.866	19.25
335.0247	24.75
336.1832	16.75
337.3415	22
338.4995	18
339.6573	18.5
340.8148	20.75
341.9721	27
343.1291	23.25
344.2859	29.75
345.4424	26.75
346.5987	16.25
347.7547	19.25
348.9105	18.75
350.0661	20.25
351.2214	22.5
352.3764	9.75
353.5313	23.75
354.6858	23.5
355.8401	25
356.9942	20.25
358.148	21
359.3016	31.25
360.4549	11.5
361.608	16.5
362.7608	24.75
363.9134	20.5
365.0658	17.75
366.2179	24.75
367.3697	19.5
368.5213	13
369.6727	21.25
370.8238	25.75
371.9747	22.5
373.1253	24.75
374.2757	24.25
375.4258	25.75
376.5757	25.25
377.7254	28.75
378.8748	34.25
380.0239	24
381.1729	30.5
382.3215	31.75
383.4699	34.75
384.6181	25.25
385.7661	40.25
386.9137	28.25
388.0612	32
389.2084	36.25
390.3553	39.5
391.502	41.75
392.6485	36.75
393.7947	24.5
394.9407	48.5
396.0865	37.75
397.2319	37
398.3772	37.5
399.5222	33.25
400.667	31.25
401.8115	39.25
402.9557	47
404.0998	44
405.2436	35
406.3871	36.25
407.5304	43.5
408.6735	36.5
409.8163	44.5
410.9588	39
412.1012	38.25
413.2432	43.5
414.3851	50.75
415.5267	40.75
416.668	53.25
417.8091	55
418.95	47.25
420.0906	42
421.231	51.75
422.3712	49.25
423.511	42.25
424.6507	49.75
425.7901	58
426.9293	64
428.0682	49.5
429.2069	52.75
430.3453	52
431.4836	55.5
432.6215	58.25
433.7592	61.75
434.8967	48.5
436.0339	51.75
437.1709	60.75
438.3077	47.75
439.4442	51.75
440.5805	55
441.7165	48
442.8523	50.25
443.9878	57
445.1231	42.5
446.2582	52.5
447.393	45.75
448.5276	49.25
449.6619	50.75
450.796	54
451.9299	44.5
453.0635	56.75
454.1969	49.5
455.33	60
456.4629	45
457.5956	51.75
458.728	63.75
459.8601	49.5
460.9921	42.5
462.1238	58.25
463.2552	64.75
464.3864	64
465.5174	59.25
466.6481	64.25
467.7786	54.25
468.9089	59.25
470.0389	85.75
471.1687	80.522
472.2982	89.715
473.4275	67.173
474.5565	77.25
475.6853	74.75
476.8139	67.75
477.9423	85.5
479.0703	85.25
480.1982	81.5
481.3258	86.75
482.4532	76.25
483.5803	74.75
484.7072	80.5
485.8339	93.75
486.9603	105.25
488.0865	130.75
489.2124	144.75
490.3381	106.292
491.4636	125.067
492.5888	142
493.7138	117
494.8386	118.25
495.9631	112.201
497.0874	118.652
498.2114	118.899
499.3352	145.25
500.4587	134.5
501.5821	130
502.7052	127
503.828	111.25
504.9506	106.25
506.073	97.75
507.1951	92.75
508.317	84
509.4387	74.5
510.5601	76.25
511.6812	72.25
512.8022	58.5
513.9229	60.5
515.0434	52.25
516.1636	45.75
517.2836	52.25
518.4033	42.5
519.5229	59
520.6422	43.5
521.7612	50.25
522.88	44.5
523.9986	44
525.1169	47.25
526.235	39.5
527.3528	43.25
528.4705	34
529.5879	36.75
530.705	34.5
531.822	35.5
532.9386	31.25
534.0551	29.5
535.1713	30.5
536.2872	29.5
537.403	37
538.5185	27.25
539.6337	39.5
540.7488	33.75
541.8635	31.75
542.9781	34.25
544.0924	26.5
545.2065	40.5
546.3204	33
547.434	30
548.5474	40.25
549.6605	31.5
550.7734	36.5
551.886	30.75
552.9985	28.5
554.1107	33.5
555.2227	22.5
556.3344	18.75
557.4459	32.75
558.5571	27
559.6682	24.5
560.7789	33
561.8895	20.75
562.9998	29
564.1099	18.75
565.2197	26.25
566.3293	29.5
567.4387	21.25
568.5479	24.5
569.6568	24
570.7655	22.5
571.8739	21.75
572.9821	21.75
574.0901	26.75
575.1979	18
576.3054	25.25
577.4127	12.5
578.5197	27.75
579.6265	29.75
580.733	15.25
581.8394	31.5
582.9455	23.5
584.0514	29.75
585.157	35
586.2624	21.25
587.3676	25.75
588.4725	35
589.5772	26.75
590.6817	30.75
