#AuJC, d=50 nm, n=1
#nm  Qext    Qsca
200 2.41288 0.53712
201 2.41476 0.53555
202 2.41667 0.53404
203 2.41845 0.53249
204 2.42162 0.53094
205 2.42912 0.52974
206 2.43851 0.52903
207 2.44662 0.52872
208 2.45187 0.52879
209 2.45861 0.52980
210 2.46614 0.53125
211 2.47330 0.53258
212 2.47900 0.53326
213 2.48311 0.53321
214 2.48632 0.53277
215 2.48893 0.53209
216 2.49124 0.53131
217 2.49349 0.53057
218 2.49557 0.52980
219 2.49734 0.52894
220 2.49866 0.52792
221 2.49940 0.52667
222 2.49895 0.52502
223 2.49575 0.52265
224 2.49096 0.51987
225 2.48607 0.51707
226 2.48261 0.51462
227 2.48192 0.51286
228 2.48357 0.51166
229 2.48611 0.51068
230 2.48805 0.50959
231 2.48779 0.50802
232 2.48380 0.50560
233 2.47631 0.50241
234 2.46685 0.49878
235 2.45699 0.49509
236 2.44834 0.49169
237 2.44252 0.48894
238 2.43887 0.48669
239 2.43509 0.48444
240 2.43123 0.48224
241 2.42733 0.48010
242 2.42344 0.47806
243 2.41946 0.47611
244 2.41407 0.47397
245 2.40741 0.47167
246 2.40009 0.46930
247 2.39273 0.46698
248 2.38598 0.46483
249 2.38049 0.46297
250 2.37572 0.46131
251 2.37080 0.45969
252 2.36568 0.45807
253 2.36032 0.45644
254 2.35469 0.45478
255 2.34875 0.45305
256 2.34163 0.45113
257 2.33225 0.44881
258 2.32105 0.44615
259 2.30850 0.44318
260 2.29511 0.43995
261 2.28137 0.43653
262 2.26774 0.43296
263 2.25398 0.42925
264 2.23990 0.42538
265 2.22540 0.42137
266 2.21039 0.41719
267 2.19476 0.41286
268 2.17841 0.40837
269 2.16124 0.40372
270 2.14295 0.39888
271 2.12361 0.39387
272 2.10362 0.38873
273 2.08338 0.38351
274 2.06326 0.37826
275 2.04362 0.37300
276 2.02481 0.36779
277 2.00680 0.36260
278 1.98912 0.35738
279 1.97179 0.35216
280 1.95485 0.34697
281 1.93833 0.34183
282 1.92224 0.33678
283 1.90660 0.33183
284 1.89143 0.32700
285 1.87686 0.32232
286 1.86317 0.31777
287 1.85015 0.31332
288 1.83756 0.30896
289 1.82517 0.30466
290 1.81274 0.30040
291 1.80005 0.29614
292 1.78687 0.29189
293 1.77286 0.28758
294 1.75761 0.28316
295 1.74158 0.27868
296 1.72531 0.27422
297 1.70932 0.26986
298 1.69409 0.26567
299 1.68010 0.26169
300 1.66780 0.25799
301 1.65765 0.25462
302 1.64860 0.25141
303 1.63962 0.24823
304 1.63072 0.24507
305 1.62190 0.24194
306 1.61315 0.23885
307 1.60448 0.23580
308 1.59589 0.23279
309 1.58738 0.22984
310 1.57893 0.22693
311 1.57053 0.22408
312 1.56150 0.22121
313 1.55182 0.21830
314 1.54176 0.21538
315 1.53159 0.21248
316 1.52158 0.20963
317 1.51199 0.20685
318 1.50308 0.20416
319 1.49509 0.20159
320 1.48829 0.19915
321 1.48299 0.19689
322 1.47948 0.19483
323 1.47741 0.19293
324 1.47641 0.19116
325 1.47609 0.18948
326 1.47606 0.18783
327 1.47592 0.18618
328 1.47526 0.18449
329 1.47366 0.18270
330 1.47070 0.18078
