#Si, d=150 nm, n=1
#nm  Qext    Qsca
251 3.22068 2.39306
252 3.21088 2.39334
253 3.20244 2.39403
254 3.19485 2.39493
255 3.18765 2.39587
256 3.18037 2.39661
257 3.17254 2.39694
258 3.16372 2.39662
259 3.15347 2.39539
260 3.14140 2.39304
261 3.12787 2.38989
262 3.11348 2.38626
263 3.09831 2.38190
264 3.08242 2.37658
265 3.06592 2.37015
266 3.04892 2.36248
267 3.03155 2.35348
268 3.01394 2.34310
269 2.99621 2.33134
270 2.97848 2.31820
271 2.95998 2.30434
272 2.94041 2.29041
273 2.92048 2.27638
274 2.90083 2.26223
275 2.88198 2.24790
276 2.86436 2.23333
277 2.84833 2.21842
278 2.83416 2.20303
279 2.82205 2.18699
280 2.81217 2.17009
281 2.80305 2.15210
282 2.79332 2.13351
283 2.78318 2.11501
284 2.77286 2.09718
285 2.76260 2.08043
286 2.75261 2.06508
287 2.74311 2.05133
288 2.73429 2.03930
289 2.72636 2.02905
290 2.71947 2.02059
291 2.71481 2.01203
292 2.71297 2.00170
293 2.71326 1.98991
294 2.71511 1.97695
295 2.71797 1.96321
296 2.72137 1.94909
297 2.72485 1.93510
298 2.72804 1.92181
299 2.73058 1.90987
300 2.73219 1.89996
301 2.73334 1.89165
302 2.73467 1.88403
303 2.73618 1.87703
304 2.73785 1.87060
305 2.73967 1.86467
306 2.74161 1.85919
307 2.74364 1.85414
308 2.74575 1.84946
309 2.74790 1.84512
310 2.75005 1.84110
311 2.75218 1.83751
312 2.75430 1.83446
313 2.75641 1.83187
314 2.75853 1.82966
315 2.76065 1.82778
316 2.76278 1.82614
317 2.76492 1.82468
318 2.76706 1.82331
319 2.76922 1.82197
320 2.77138 1.82057
321 2.77346 1.81920
322 2.77543 1.81795
323 2.77729 1.81683
324 2.77908 1.81585
325 2.78081 1.81499
326 2.78253 1.81426
327 2.78424 1.81366
328 2.78599 1.81318
329 2.78778 1.81281
330 2.78965 1.81254
331 2.79159 1.81239
332 2.79359 1.81233
333 2.79561 1.81239
334 2.79765 1.81256
335 2.79970 1.81284
336 2.80173 1.81323
337 2.80374 1.81373
338 2.80571 1.81435
339 2.80762 1.81508
340 2.80946 1.81594
341 2.81132 1.81691
342 2.81327 1.81797
343 2.81524 1.81914
344 2.81719 1.82042
345 2.81906 1.82180
346 2.82080 1.82330
347 2.82236 1.82491
348 2.82369 1.82665
349 2.82472 1.82851
350 2.82542 1.83051
351 2.82581 1.83275
352 2.82595 1.83528
353 2.82587 1.83801
354 2.82559 1.84086
355 2.82512 1.84375
356 2.82447 1.84661
357 2.82365 1.84935
358 2.82269 1.85191
359 2.82157 1.85422
360 2.82030 1.85622
361 2.81854 1.85718
362 2.81605 1.85662
363 2.81302 1.85488
364 2.80965 1.85222
365 2.80612 1.84890
366 2.80265 1.84511
