#tab, d=300 nm, n=1
#nm  Qext    Qsca
201 2.43153 2.43153
202 2.42649 2.42649
203 2.42411 2.42411
204 2.42706 2.42706
205 2.44346 2.44346
206 2.49501 2.49501
207 2.64469 2.64469
208 3.05799 3.05799
209 3.40579 3.40579
210 2.73630 2.73630
211 2.32935 2.32935
212 2.16270 2.16270
213 2.08607 2.08607
214 2.05782 2.05782
215 2.06937 2.06937
216 2.12044 2.12044
217 2.20845 2.20845
218 2.31935 2.31935
219 2.42024 2.42024
220 2.46475 2.46475
221 2.42105 2.42105
222 2.29919 2.29919
223 2.14077 2.14077
224 1.98564 1.98564
225 1.85490 1.85490
226 1.75390 1.75390
227 1.68025 1.68025
228 1.62934 1.62934
229 1.59678 1.59678
230 1.57924 1.57924
231 1.57467 1.57467
232 1.58233 1.58233
233 1.60299 1.60299
234 1.63937 1.63937
235 1.69706 1.69706
236 1.78621 1.78621
237 1.92403 1.92403
238 2.13524 2.13524
239 2.43272 2.43272
240 2.72774 2.72774
241 2.75296 2.75296
242 2.44190 2.44190
243 2.08736 2.08736
244 1.84545 1.84545
245 1.70644 1.70644
246 1.63427 1.63427
247 1.60432 1.60432
248 1.60268 1.60268
249 1.62156 1.62156
250 1.65620 1.65620
251 1.70305 1.70305
252 1.75880 1.75880
253 1.81983 1.81983
254 1.88203 1.88203
255 1.94087 1.94087
256 1.99187 1.99187
257 2.03110 2.03110
258 2.05587 2.05587
259 2.06515 2.06515
260 2.05972 2.05972
261 2.04196 2.04196
262 2.01529 2.01529
263 1.98357 1.98357
264 1.95054 1.95054
265 1.91946 1.91946
266 1.89295 1.89295
267 1.87296 1.87296
268 1.86090 1.86090
269 1.85777 1.85777
270 1.86433 1.86433
271 1.88124 1.88124
272 1.90923 1.90923
273 1.94917 1.94917
274 2.00220 2.00220
275 2.06982 2.06982
276 2.15394 2.15394
277 2.25675 2.25675
278 2.38049 2.38049
279 2.52664 2.52664
280 2.69417 2.69417
281 2.87655 2.87655
282 3.05754 3.05754
283 3.20865 3.20865
284 3.29420 3.29420
285 3.28830 3.28830
286 3.19354 3.19354
287 3.04147 3.04147
288 2.87272 2.87272
289 2.71772 2.71772
290 2.59119 2.59119
291 2.49629 2.49629
292 2.43029 2.43029
293 2.38850 2.38850
294 2.36614 2.36614
295 2.35911 2.35911
296 2.36407 2.36407
297 2.37843 2.37843
298 2.40016 2.40016
299 2.42768 2.42768
300 2.45975 2.45975
301 2.49535 2.49535
302 2.53369 2.53369
303 2.57407 2.57407
304 2.61591 2.61591
305 2.65870 2.65870
306 2.70200 2.70200
307 2.74542 2.74542
308 2.78862 2.78862
309 2.83130 2.83130
310 2.87322 2.87322
311 2.91419 2.91419
312 2.95408 2.95408
313 2.99279 2.99279
314 3.03030 3.03030
315 3.06666 3.06666
316 3.10193 3.10193
317 3.13626 3.13626
318 3.16984 3.16984
319 3.20289 3.20289
320 3.23568 3.23568
321 3.26852 3.26852
322 3.30172 3.30172
323 3.33563 3.33563
324 3.37062 3.37062
325 3.40704 3.40704
326 3.44529 3.44529
327 3.48574 3.48574
328 3.52878 3.52878
329 3.57476 3.57476
330 3.62405 3.62405
331 3.67701 3.67701
332 3.73392 3.73392
333 3.79508 3.79508
334 3.86067 3.86067
335 3.93083 3.93083
336 4.00552 4.00552
337 4.08456 4.08456
338 4.16752 4.16752
339 4.25367 4.25367
340 4.34188 4.34188
341 4.43057 4.43057
342 4.51762 4.51762
343 4.60041 4.60041
344 4.67582 4.67582
345 4.74039 4.74039
346 4.79067 4.79067
347 4.82350 4.82350
348 4.83654 4.83654
349 4.82863 4.82863
350 4.80008 4.80008
351 4.75266 4.75266
352 4.68942 4.68942
353 4.61423 4.61423
354 4.53132 4.53132
355 4.44476 4.44476
356 4.35816 4.35816
357 4.27438 4.27438
358 4.19556 4.19556
359 4.12310 4.12310
360 4.05781 4.05781
361 4.00002 4.00002
362 3.94968 3.94968
363 3.90654 3.90654
364 3.87018 3.87018
365 3.84010 3.84010
366 3.81576 3.81576
367 3.79664 3.79664
368 3.78220 3.78220
369 3.77198 3.77198
370 3.76553 3.76553
371 3.76245 3.76245
372 3.76237 3.76237
373 3.76498 3.76498
374 3.77000 3.77000
375 3.77716 3.77716
376 3.78625 3.78625
377 3.79709 3.79709
378 3.80949 3.80949
379 3.82331 3.82331
380 3.83842 3.83842
381 3.85471 3.85471
382 3.87208 3.87208
383 3.89045 3.89045
384 3.90974 3.90974
385 3.92989 3.92989
386 3.95084 3.95084
387 3.97255 3.97255
388 3.99496 3.99496
389 4.01806 4.01806
390 4.04180 4.04180
391 4.06617 4.06617
392 4.09113 4.09113
393 4.11667 4.11667
394 4.14277 4.14277
395 4.16942 4.16942
396 4.19661 4.19661
397 4.22432 4.22432
398 4.25256 4.25256
399 4.28130 4.28130
400 4.31056 4.31056
401 4.34031 4.34031
402 4.37056 4.37056
403 4.40131 4.40131
404 4.43254 4.43254
405 4.46427 4.46427
406 4.49647 4.49647
407 4.52916 4.52916
408 4.56233 4.56233
409 4.59596 4.59596
410 4.63007 4.63007
411 4.66463 4.66463
412 4.69965 4.69965
413 4.73512 4.73512
414 4.77101 4.77101
415 4.80733 4.80733
416 4.84406 4.84406
417 4.88116 4.88116
418 4.91863 4.91863
419 4.95643 4.95643
420 4.99454 4.99454
421 5.03291 5.03291
422 5.07149 5.07149
423 5.11024 5.11024
424 5.14910 5.14910
425 5.18799 5.18799
426 5.22683 5.22683
427 5.26554 5.26554
428 5.30401 5.30401
429 5.34213 5.34213
430 5.37976 5.37976
431 5.41677 5.41677
432 5.45299 5.45299
433 5.48825 5.48825
434 5.52236 5.52236
435 5.55512 5.55512
436 5.58631 5.58631
437 5.61571 5.61571
438 5.64307 5.64307
439 5.66814 5.66814
440 5.69069 5.69069
441 5.71045 5.71045
442 5.72717 5.72717
443 5.74062 5.74062
444 5.75057 5.75057
445 5.75681 5.75681
446 5.75917 5.75917
447 5.75747 5.75747
448 5.75162 5.75162
449 5.74154 5.74154
450 5.72719 5.72719
451 5.70859 5.70859
452 5.68579 5.68579
453 5.65892 5.65892
454 5.62813 5.62813
455 5.59361 5.59361
456 5.55560 5.55560
457 5.51439 5.51439
458 5.47028 5.47028
459 5.42358 5.42358
460 5.37464 5.37464
461 5.32381 5.32381
462 5.27144 5.27144
463 5.21788 5.21788
464 5.16346 5.16346
465 5.10850 5.10850
466 5.05331 5.05331
467 4.99817 4.99817
468 4.94334 4.94334
469 4.88904 4.88904
470 4.83549 4.83549
471 4.78286 4.78286
472 4.73131 4.73131
473 4.68098 4.68098
474 4.63196 4.63196
475 4.58436 4.58436
476 4.53823 4.53823
477 4.49363 4.49363
478 4.45059 4.45059
479 4.40913 4.40913
480 4.36926 4.36926
481 4.33099 4.33099
482 4.29429 4.29429
483 4.25915 4.25915
484 4.22554 4.22554
485 4.19344 4.19344
486 4.16281 4.16281
487 4.13361 4.13361
488 4.10581 4.10581
489 4.07936 4.07936
490 4.05422 4.05422
491 4.03034 4.03034
492 4.00770 4.00770
493 3.98623 3.98623
494 3.96590 3.96590
495 3.94666 3.94666
496 3.92849 3.92849
497 3.91133 3.91133
498 3.89514 3.89514
499 3.87990 3.87990
500 3.86556 3.86556
501 3.85209 3.85209
502 3.83945 3.83945
503 3.82762 3.82762
504 3.81656 3.81656
505 3.80624 3.80624
506 3.79664 3.79664
507 3.78773 3.78773
508 3.77947 3.77947
509 3.77186 3.77186
510 3.76486 3.76486
511 3.75845 3.75845
512 3.75261 3.75261
513 3.74732 3.74732
514 3.74256 3.74256
515 3.73832 3.73832
516 3.73457 3.73457
517 3.73130 3.73130
518 3.72849 3.72849
519 3.72613 3.72613
520 3.72420 3.72420
521 3.72269 3.72269
522 3.72158 3.72158
523 3.72087 3.72087
524 3.72054 3.72054
525 3.72059 3.72059
526 3.72098 3.72098
527 3.72173 3.72173
528 3.72282 3.72282
529 3.72423 3.72423
